"","Province/State","Country/Region","date","CumConfirmed","CumDeaths","CumRecovered"
"1252","Karnataka","India",2020-01-27,0,0,0
"1253","Karnataka","India",2020-01-28,0,0,0
"1254","Karnataka","India",2020-01-29,0,0,0
"1255","Karnataka","India",2020-01-30,0,0,0
"1256","Karnataka","India",2020-01-31,0,0,0
"1257","Karnataka","India",2020-02-01,0,0,0
"1258","Karnataka","India",2020-02-02,0,0,0
"1259","Karnataka","India",2020-02-03,0,0,0
"1260","Karnataka","India",2020-02-04,0,0,0
"1261","Karnataka","India",2020-02-05,0,0,0
"1262","Karnataka","India",2020-02-06,0,0,0
"1263","Karnataka","India",2020-02-07,0,0,0
"1264","Karnataka","India",2020-02-08,0,0,0
"1265","Karnataka","India",2020-02-09,0,0,0
"1266","Karnataka","India",2020-02-10,0,0,0
"1267","Karnataka","India",2020-02-11,0,0,0
"1268","Karnataka","India",2020-02-12,0,0,0
"1269","Karnataka","India",2020-02-13,0,0,0
"1270","Karnataka","India",2020-02-14,0,0,0
"1271","Karnataka","India",2020-02-15,0,0,0
"1272","Karnataka","India",2020-02-16,0,0,0
"1273","Karnataka","India",2020-02-17,0,0,0
"1274","Karnataka","India",2020-02-18,0,0,0
"1275","Karnataka","India",2020-02-19,0,0,0
"1276","Karnataka","India",2020-02-20,0,0,0
"1277","Karnataka","India",2020-02-21,0,0,0
"1278","Karnataka","India",2020-02-22,0,0,0
"1279","Karnataka","India",2020-02-23,0,0,0
"1280","Karnataka","India",2020-02-24,0,0,0
"1281","Karnataka","India",2020-02-25,0,0,0
"1282","Karnataka","India",2020-02-26,0,0,0
"1283","Karnataka","India",2020-02-27,0,0,0
"1284","Karnataka","India",2020-02-28,0,0,0
"1285","Karnataka","India",2020-02-29,0,0,0
"1286","Karnataka","India",2020-03-01,0,0,0
"1287","Karnataka","India",2020-03-02,0,0,0
"1288","Karnataka","India",2020-03-03,0,0,0
"1289","Karnataka","India",2020-03-04,0,0,0
"1290","Karnataka","India",2020-03-05,0,0,0
"1291","Karnataka","India",2020-03-06,0,0,0
"1292","Karnataka","India",2020-03-07,0,0,0
"1293","Karnataka","India",2020-03-08,0,0,0
"1294","Karnataka","India",2020-03-09,1,0,0
"1295","Karnataka","India",2020-03-10,4,0,0
"1296","Karnataka","India",2020-03-11,4,0,0
"1297","Karnataka","India",2020-03-12,4,0,0
"1298","Karnataka","India",2020-03-13,6,0,1
